size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,29.0,0.0,0.0,105.601312,314.390793,267.665237,2865.209835,0.0,0.0,481.766978,True,0.25,True,52.0,22.0,48.0,0.0,101.0,50.0,900.0,1.0,alns_search,0.0,105.601312,314.390793,19.0,26.0,23.0,16.0,16.0,19.0,27.0,22.0,32.0,314.390793,312.27611,1988.430667,0.034483,0.034483,105.601312,0.666667,0.666667,29,1.724138,293.2667,6.513419,481.766978,0.0,0.0
M,1,50,25,2,2,0,high,no_pinn,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,719.0,35.0,0.0,0.0,102.285965,280.103667,185.875385,2904.603282,0.0,0.0,467.354565,False,0.0,True,55.0,27.0,45.0,12.0,101.0,50.0,900.0,1.0,alns_search,0.0,102.285965,280.103667,15.0,26.0,24.0,20.0,15.0,22.0,33.0,27.0,18.0,280.103667,216.854616,2015.769375,0.257143,0.257143,102.285965,0.666667,0.583333,35,1.428571,0,8.141875,467.354565,0.0,0.0
M,1,50,25,2,2,0,high,no_adaptive,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,29.0,0.0,0.0,105.601312,314.390793,267.665237,2865.209835,0.0,0.0,481.766978,True,0.25,False,51.0,24.0,49.0,0.0,101.0,50.0,900.0,1.0,alns_search,0.0,105.601312,314.390793,24.0,15.0,14.0,23.0,24.0,31.0,19.0,18.0,32.0,314.390793,312.27611,1988.430667,0.034483,0.034483,105.601312,0.666667,0.666667,29,1.724138,293.2667,5.486256,481.766978,0.0,0.0
M,1,50,25,2,2,0,high,no_uq,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,719.0,32.0,0.0,0.0,99.432316,276.255869,211.048848,2894.707652,0.0,0.0,465.25914,False,0.25,True,51.0,22.0,49.0,2.0,101.0,50.0,900.0,1.0,alns_search,0.0,99.432316,276.255869,10.0,37.0,23.0,15.0,15.0,31.0,15.0,26.0,28.0,276.255869,246.223657,2008.901896,0.25,0.25,99.432316,0.583333,0.5,32,1.5625,0,7.761617,465.25914,0.0,0.0
M,1,50,25,2,2,0,high,no_risk_value,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,44.0,0.0,0.0,108.18041,255.284039,178.959872,3142.55906,0.0,0.0,491.389111,True,0.0,True,62.0,31.0,38.0,6.0,101.0,50.0,900.0,1.0,alns_search,0.0,108.18041,255.284039,23.0,23.0,16.0,24.0,14.0,24.0,13.0,23.0,40.0,255.284039,208.786518,2180.908614,0.022727,0.022727,108.18041,0.416667,0.416667,44,1.136364,165.1152,8.554724,491.389111,0.0,0.0
M,1,50,25,2,2,0,high,no_energy_repair,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,42.0,0.0,0.0,94.222748,258.489313,219.609512,3027.956589,0.0,0.0,470.677221,True,0.25,True,40.0,21.0,60.0,2.0,101.0,50.0,900.0,1.0,alns_search,0.0,94.222748,258.489313,19.0,27.0,18.0,14.0,22.0,22.0,44.0,0.0,34.0,258.489313,256.211097,2101.375497,0.02381,0.02381,94.222748,0.583333,0.5,42,1.190476,165.1152,6.514051,470.677221,0.0,0.0
M,1,50,25,2,2,0,high,no_sync_repair,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,29.0,0.0,0.0,105.801218,314.390793,264.056365,2865.209835,0.0,0.0,481.605997,True,0.25,True,45.0,19.0,55.0,1.0,101.0,50.0,900.0,1.0,alns_search,0.0,105.801218,314.390793,13.0,25.0,19.0,27.0,16.0,46.0,16.0,38.0,0.0,314.390793,308.065759,1988.430667,0.034483,0.034483,105.801218,0.583333,0.583333,29,1.724138,293.2667,4.882649,481.605997,0.0,0.0
M,1,50,25,2,2,0,high,no_clustering,direct,3,M50_P25_seed0_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,85,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8389.0,159.0,38.0,0.0,0.0,116.865105,269.063195,207.586227,3414.176796,0.0,0.0,532.854046,True,0.25,True,57.0,25.0,43.0,3.0,101.0,50.0,900.0,1.0,alns_search,0.0,116.865105,269.063195,14.0,18.0,23.0,21.0,24.0,30.0,26.0,13.0,31.0,269.063195,242.183932,2369.408957,0.026316,0.026316,116.865105,0.416667,0.416667,38,1.315789,64.8602,4.626681,532.854046,0.0,0.0
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7856.0,144.0,34.0,0.0,0.0,129.80463,280.441696,218.266204,3050.263116,0.0,0.0,512.745901,True,0.25,True,67.0,30.0,33.0,1.0,101.0,50.0,900.0,1.0,alns_search,0.0,129.80463,280.441696,11.0,27.0,25.0,23.0,14.0,28.0,27.0,18.0,27.0,280.441697,254.643905,2026.611314,0.058824,0.058824,129.80463,0.416667,0.416667,34,1.470588,213.2369,7.553518,512.745901,0.0,0.0
M,1,50,25,2,2,1,high,no_pinn,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7856.0,613.0,34.0,0.0,0.0,109.353682,281.690049,247.547736,2912.208826,0.0,0.0,481.667348,False,0.0,True,59.0,29.0,41.0,8.0,101.0,50.0,900.0,1.0,alns_search,0.0,109.353682,281.690049,13.0,18.0,27.0,27.0,15.0,32.0,14.0,35.0,19.0,281.690048,288.805691,1934.887297,0.147059,0.147059,109.353682,0.333333,0.333333,34,1.470588,0,7.141303,481.667348,0.0,0.0
